Country	date	total	cum	increment	double1	double2	double3	double7
United Kingdom - Channel Islands	2020-04-04	30	262	9	25600	1131.37084989848	400	121.901365420447
Germany	2020-03-04	66	262	4	800	200	125.992104989487	74.2997144568474
Denmark	2020-03-10	172	262	1	100	70.7106781186548	62.9960524947437	55.2044756836906
Qatar	2020-03-12	0	262	1	100	70.7106781186548	62.9960524947437	55.2044756836906
Qatar	2020-03-11	238	262	0	50	50	50	50
West Bank and Gaza	2020-04-07	7	261	16	3276800	12800	2015.8736798318	243.802730840895
Cote d'Ivoire	2020-04-05	16	261	12	204800	3200	800	164.067071201527
Burkina Faso	2020-03-31	15	261	10	51200	1600	503.968419957949	134.590019263236
Hungary	2020-03-26	35	261	9	25600	1131.37084989848	400	121.901365420447
Romania	2020-03-18	76	260	5	1600	282.842712474619	158.74010519682	82.0335356007638
San Marino	2020-04-04	14	259	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Albania	2020-04-01	16	259	16	3276800	12800	2015.8736798318	243.802730840895
Jordan	2020-03-29	13	259	11	102400	2262.74169979695	634.96042078728	148.599428913695
North Macedonia	2020-03-29	18	259	9	25600	1131.37084989848	400	121.901365420447
Spain	2020-03-05	37	259	4	800	200	125.992104989487	74.2997144568474
Bosnia and Herzegovina	2020-03-28	21	258	9	25600	1131.37084989848	400	121.901365420447
Estonia	2020-03-18	33	258	5	1600	282.842712474619	158.74010519682	82.0335356007638
Bahrain	2020-03-18	28	256	14	819200	6400.00000000001	1269.92084157456	200
Japan	2020-03-01	15	256	14	819200	6400.00000000001	1269.92084157456	200
Egypt	2020-03-19	60	256	10	51200	1600	503.968419957949	134.590019263236
Kuwait	2020-03-29	20	255	27	6710886400	579261.875148021	25600	724.578931411124
West Bank and Gaza	2020-04-06	17	254	15	1638400	9050.96679918782	1600	220.817902734762
Nigeria	2020-04-07	16	254	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Croatia	2020-03-22	48	254	6	3200	400	200	90.5723664263906
Russia	2020-03-20	54	253	6	3200	400	200	90.5723664263906
Niger	2020-04-06	69	253	5	1600	282.842712474619	158.74010519682	82.0335356007638
Slovenia	2020-03-16	34	253	5	1600	282.842712474619	158.74010519682	82.0335356007638
Czech Republic	2020-03-15	64	253	4	800	200	125.992104989487	74.2997144568474
Chinese Taipei	2020-03-26	17	252	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Oman	2020-04-03	21	252	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Canada	2020-03-15	54	252	8	12800	800	317.48021039364	110.408951367381
Mexico	2020-03-22	48	251	6	3200	400	200	90.5723664263906
